,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,ginir,7.1333,7.1333,13.53,91,100,2.07,ET,1650939352
283,erzin,36.9559,36.9559,17.59,41,0,0.98,TR,1650939354
284,byron bay,-28.65,-28.65,22.94,73,100,2.74,AU,1650939355
285,buraydah,26.326,26.326,23.44,40,30,6.15,SA,1650939069
286,tabou,4.423,4.423,25.48,86,67,1.9,CI,1650939357
287,kulhudhuffushi,6.6221,6.6221,29.05,71,93,1.49,MV,1650939359
288,cacahuatepec,16.8861,16.8861,25.76,64,6,1.63,MX,1650939360
289,the valley,18.217,18.217,25.05,66,6,5.61,AI,1650939362
290,kidal,18.4411,18.4411,25.63,19,0,4.7,ML,1650939363
291,manaus,-3.1019,-3.1019,27.28,94,0,1.54,BR,1650939365
292,kuloy,61.0305,61.0305,5.26,97,100,3.52,RU,1650939366
293,alice springs,-23.7,-23.7,22.75,53,60,3.09,AU,1650939233
294,pergamino,-33.89,-33.89,16.72,92,9,3.49,AR,1650939123
295,brownsville,25.9018,25.9018,26.16,88,100,5.66,US,1650939305
296,gwanda,-20.9333,-20.9333,17.93,73,6,1.86,ZW,1650939373
297,alofi,-19.0595,-19.0595,24.94,94,100,3.09,NU,1650939374
298,puerto ayacucho,5.6639,5.6639,23.94,93,98,2.18,VE,1650939376
299,riyadh,24.6877,24.6877,21.08,46,100,3.98,SA,1650939198
300,berlevag,70.8578,70.8578,-6.11,76,99,13.57,NO,1650939378
301,laguna,38.421,38.421,25.08,43,0,5.14,US,1650939342
302,marsh harbour,26.5412,26.5412,23.46,69,0,7.31,BS,1650939206
303,pimenta bueno,-11.6725,-11.6725,23.22,94,7,1.06,BR,1650939382
304,the pas,53.8251,53.8251,-2.99,36,0,1.54,CA,1650939384
305,mahibadhoo,3.7833,3.7833,28.89,70,94,2.03,MV,1650939385
306,awjilah,29.1081,29.1081,23.33,21,100,4.32,LY,1650939386
307,kichera,55.9375,55.9375,-1.37,72,86,2.66,RU,1650939388
308,kharan,28.5833,28.5833,26.69,18,6,1.1,PK,1650939390
309,mandalgovi,45.7625,45.7625,-2.16,23,12,5.89,MN,1650939219
310,sur,22.5667,22.5667,29.34,41,0,4.53,OM,1650939290
311,namibe,-15.1961,-15.1961,22.52,69,100,2.54,AO,1650939394
312,biak,-0.9131,-0.9131,28.33,72,19,1.35,ID,1650939395
313,camacha,33.0833,33.0833,14.68,77,40,4.63,PT,1650939211
314,kinna,57.5073,57.5073,4.63,83,20,1.11,SE,1650939398
315,klobuck,50.9008,50.9008,6.36,92,100,2.17,PL,1650939399
316,cape coast,5.1053,5.1053,26.69,85,92,1.63,GH,1650939401
317,olafsvik,64.8945,64.8945,5.56,83,88,1.9,IS,1650939131
318,jati,24.3539,24.3539,27.27,72,0,5.6,PK,1650939188
319,ocos,14.5094,14.5094,26.1,67,97,3.23,GT,1650939404
320,yerbogachen,61.2767,61.2767,0.16,85,100,2.35,RU,1650939135
321,hvide sande,56.0045,56.0045,3.38,86,8,4.19,DK,1650939407
322,chuy,-33.6971,-33.6971,18.32,99,68,0.7,UY,1650939196
323,berbera,10.4396,10.4396,28.7,72,94,1.81,SO,1650939409
324,aloleng,16.1307,16.1307,31.55,59,58,2.11,PH,1650939372
325,merauke,-8.4667,-8.4667,30.14,64,12,0.77,ID,1650939236
326,ust-nera,64.5667,64.5667,-5.96,80,95,1.71,RU,1650939413
327,imeni poliny osipenko,52.4201,52.4201,1.76,84,100,3.5,RU,1650939414
328,yar-sale,66.8333,66.8333,-5.89,98,89,1.57,RU,1650939416
329,darnah,32.767,32.767,16.56,63,99,1.59,LY,1650939417
330,bima,-8.4667,-8.4667,29.99,57,100,0.65,ID,1650939231
331,bac lieu,9.285,9.285,30.03,64,97,2.4,VN,1650939420
332,springfield,37.2153,37.2153,11.24,67,0,3.09,US,1650939246
333,pochutla,15.7432,15.7432,27.12,68,30,2.24,MX,1650939422
334,staroye drozhzhanoye,54.7266,54.7266,10.6,84,100,5.18,RU,1650939425
335,los llanos de aridane,28.6585,28.6585,15.86,85,0,3.6,ES,1650939426
336,grand gaube,-20.0064,-20.0064,24.22,71,57,9.08,MU,1650939427
337,manakara,-22.1333,-22.1333,20.21,92,33,2.18,MG,1650939429
338,ballina,-28.8667,-28.8667,22.1,81,100,2.55,AU,1650939142
339,pastavy,55.1168,55.1168,7.16,74,100,2.46,BY,1650939431
340,chapais,49.7834,49.7834,3.88,99,100,2.66,CA,1650939433
341,rawson,-43.3002,-43.3002,14.1,36,90,14.05,AR,1650939434
342,sahuaripa,29.05,29.05,27.63,12,0,2.73,MX,1650939436
343,provideniya,64.3833,64.3833,-1.94,74,75,9.0,RU,1650939438
344,cradock,-32.1642,-32.1642,7.51,86,0,0.79,ZA,1650939439
345,plettenberg bay,-34.0527,-34.0527,12.5,78,0,3.16,ZA,1650939441
346,beloha,-25.1667,-25.1667,22.51,74,96,2.08,MG,1650939442
347,santiago del estero,-27.7951,-27.7951,24.96,70,37,1.79,AR,1650939444
348,turukhansk,65.8167,65.8167,-7.51,85,18,2.21,RU,1650939445
349,rumoi,43.9344,43.9344,16.26,61,100,4.16,JP,1650939447
350,porvoo,60.3923,60.3923,4.02,91,66,2.74,FI,1650939448
351,pingliang,35.5392,35.5392,20.0,32,99,3.39,CN,1650939449
352,roslyakovo,69.043,69.043,-2.6,82,100,8.23,RU,1650939451
353,kudahuvadhoo,2.6708,2.6708,28.83,69,21,2.24,MV,1650939452
354,sola,-13.8833,-13.8833,27.1,76,82,7.63,VU,1650939409
355,vanderhoof,54.0166,54.0166,7.6,62,100,0.85,CA,1650939455
356,bucerias,20.75,20.75,23.99,83,0,3.09,MX,1650939318
357,luderitz,-26.6481,-26.6481,15.35,51,0,4.72,NA,1650939459
358,teya,60.3778,60.3778,0.31,79,94,3.52,RU,1650939460
359,namatanai,-3.6667,-3.6667,29.62,64,91,2.89,PG,1650939461
360,baykit,61.67,61.67,-1.79,92,100,1.97,RU,1650939463
361,husavik,66.0449,66.0449,5.08,86,100,0.79,IS,1650939464
362,boa esperanca,-21.09,-21.09,17.96,91,4,1.9,BR,1650939465
363,mae chan,20.1467,20.1467,32.6,35,2,0.36,TH,1650939467
364,nelson bay,-32.7167,-32.7167,21.67,84,100,2.45,AU,1650939468
365,amahai,-3.3333,-3.3333,29.2,71,60,1.39,ID,1650939470
366,luwuk,-0.9516,-0.9516,29.51,74,23,1.3,ID,1650939471
367,ust-tsilma,65.441,65.441,0.71,93,100,2.47,RU,1650939472
368,zabaykalsk,49.6333,49.6333,1.91,83,98,7.04,RU,1650939474
369,kodinsk,58.6881,58.6881,1.02,83,100,4.02,RU,1650939475
370,manaure,11.7751,11.7751,27.37,73,100,7.42,CO,1650939476
371,san felipe,10.3399,10.3399,22.58,96,100,1.63,VE,1650939478
372,suhbaatar,50.2314,50.2314,2.14,26,0,4.0,MN,1650939479
373,hobyo,5.3505,5.3505,27.99,70,65,3.65,SO,1650939481
374,te anau,-45.4167,-45.4167,13.27,54,5,0.83,NZ,1650939436
375,port lincoln,-34.7333,-34.7333,19.04,72,84,7.9,AU,1650939483
376,bathsheba,13.2167,13.2167,25.34,94,75,6.17,BB,1650939486
377,ouallam,14.3188,14.3188,27.76,14,38,4.77,NE,1650939487
378,arlit,18.7369,18.7369,26.71,10,0,3.92,NE,1650939488
379,lhokseumawe,5.1801,5.1801,27.69,78,100,0.96,ID,1650939490
380,nsanje,-16.92,-16.92,20.81,98,14,0.65,MW,1650939491
381,luang prabang,19.8856,19.8856,24.98,83,75,0.0,LA,1650939493
382,port moresby,-9.4431,-9.4431,29.52,70,90,3.4,PG,1650939494
383,mahon,39.8885,39.8885,11.31,93,0,1.03,ES,1650939496
384,saint george,37.1041,37.1041,24.33,10,0,2.06,US,1650939464
385,panguipulli,-39.6333,-39.6333,8.96,96,100,5.19,CL,1650939498
386,garwa,24.1833,24.1833,32.8,11,0,1.71,IN,1650939500
387,las palmas,28.4204,28.4204,17.44,82,0,6.17,ES,1650939501
388,kenai,60.5544,60.5544,9.46,66,75,4.12,US,1650939503
389,conceicao do araguaia,-8.2578,-8.2578,23.32,83,8,0.92,BR,1650939505
390,hokitika,-42.7167,-42.7167,14.51,73,94,1.4,NZ,1650939507
391,ewa beach,21.3156,21.3156,27.97,56,75,8.23,US,1650939416
392,high level,58.5169,58.5169,13.06,35,20,5.66,CA,1650939509
393,puerto escondido,15.85,15.85,28.46,69,100,0.0,MX,1650939511
394,gamba,-2.65,-2.65,24.75,94,100,2.09,GA,1650939235
395,avarua,-21.2078,-21.2078,28.03,78,75,2.57,CK,1650939515
396,ajdabiya,30.7554,30.7554,21.04,36,57,5.73,LY,1650939516
397,poum,-20.2333,-20.2333,25.26,62,99,5.23,NC,1650939518
398,opuwo,-18.0607,-18.0607,17.41,47,1,0.76,NA,1650939519
399,cestas,44.7435,44.7435,9.96,94,74,2.06,FR,1650939522
400,stokmarknes,68.5646,68.5646,-4.01,80,20,2.06,NO,1650939523
401,kongwa,-6.2,-6.2,17.58,97,94,1.51,TZ,1650939525
402,pacific grove,36.6177,36.6177,20.01,81,0,5.14,US,1650939400
403,sinnamary,5.3833,5.3833,25.58,88,100,3.52,GF,1650939528
404,basco,20.4487,20.4487,27.78,85,2,7.63,PH,1650939530
405,motygino,58.1831,58.1831,2.02,82,100,4.8,RU,1650939531
406,belyy yar,53.6039,53.6039,4.94,47,51,0.0,RU,1650939533
407,ibra,22.6906,22.6906,24.31,43,0,0.91,OM,1650939535
408,wanning,18.8003,18.8003,29.53,70,4,6.13,CN,1650939537
409,marawi,7.9986,7.9986,25.66,71,97,1.15,PH,1650939538
410,geghamasar,40.3109,40.3109,6.65,71,100,0.75,AM,1650939539
411,safaga,26.7292,26.7292,23.66,53,5,3.91,EG,1650939541
412,marienburg,54.0359,54.0359,5.49,85,100,3.06,PL,1650939542
413,puerto madryn,-42.7692,-42.7692,14.44,40,59,13.02,AR,1650939544
414,tongchuan,35.0806,35.0806,23.35,29,31,3.81,CN,1650939545
415,naranjal,-2.6667,-2.6667,23.85,88,85,0.81,EC,1650939548
416,inverell,-29.7833,-29.7833,20.93,57,100,2.24,AU,1650939549
417,suratgarh,29.3167,29.3167,30.84,18,0,1.96,IN,1650939550
418,rundu,-17.9333,-17.9333,16.03,50,4,2.17,NA,1650939552
419,katangli,51.7102,51.7102,-0.25,95,100,1.71,RU,1650939554
420,pala,9.3642,9.3642,28.0,55,93,2.77,TD,1650939556
421,diffa,13.3154,13.3154,28.84,37,3,4.7,NE,1650939557
422,gambela,8.25,8.25,22.09,84,100,1.14,ET,1650939558
423,dabola,10.75,10.75,25.49,28,95,1.53,GN,1650939560
424,madingou,-4.1536,-4.1536,23.07,95,100,0.55,CG,1650939561
425,mpika,-11.8343,-11.8343,14.95,97,63,1.99,ZM,1650939563
426,santa maria,-29.6842,-29.6842,20.37,98,98,3.74,BR,1650939442
427,chabahar,25.2919,25.2919,28.0,68,0,2.37,IR,1650939565
428,susangerd,31.5608,31.5608,21.12,63,0,4.81,IR,1650939305
429,visby,57.6409,57.6409,6.12,75,75,5.14,SE,1650939569
430,san carlos,9.6612,9.6612,26.33,72,91,1.55,VE,1650939570
431,lubango,-14.9172,-14.9172,14.47,60,5,1.01,AO,1650939574
432,goundam,16.4145,16.4145,25.68,23,0,4.08,ML,1650939576
433,qaqortoq,60.7167,60.7167,0.84,95,100,1.86,GL,1650939577
434,mwinilunga,-11.7358,-11.7358,16.67,94,99,1.58,ZM,1650939578
435,vila,42.0304,42.0304,8.49,88,79,1.49,PT,1650939580
436,chifeng,42.2683,42.2683,11.39,14,0,12.25,CN,1650939581
437,guanica,17.9716,17.9716,24.39,92,77,1.87,PR,1650939583
438,tigil,57.8,57.8,0.03,98,100,3.42,RU,1650939584
439,kashi,39.4547,39.4547,20.56,13,20,3.0,CN,1650939585
440,evensk,61.95,61.95,0.09,75,100,9.43,RU,1650939587
441,luganville,-15.5333,-15.5333,27.69,72,100,3.81,VU,1650939589
442,buluang,13.3068,13.3068,31.7,61,70,0.63,PH,1650939591
443,finnsnes,69.2296,69.2296,-3.66,94,100,3.2,NO,1650939592
444,horta,38.5333,38.5333,14.33,71,75,3.3,PT,1650939593
445,sisimiut,66.9395,66.9395,-1.72,83,100,3.84,GL,1650939595
446,hunchun,42.8675,42.8675,21.86,41,1,1.32,CN,1650939596
447,nizwa,22.9333,22.9333,24.7,44,74,1.14,OM,1650939599
448,bethel,41.3712,41.3712,12.05,46,100,2.57,US,1650939600
449,saint-louis,16.3333,16.3333,24.51,41,1,5.86,SN,1650939602
450,turayf,31.6725,31.6725,17.14,72,0,2.57,SA,1650939603
451,humboldt,40.6665,40.6665,10.93,75,100,2.04,US,1650939605
452,iroquois falls,48.7669,48.7669,4.85,91,100,3.34,CA,1650939606
453,severodvinsk,64.5635,64.5635,1.06,99,100,1.94,RU,1650939607
454,port macquarie,-31.4333,-31.4333,22.72,70,100,1.45,AU,1650939609
455,makakilo city,21.3469,21.3469,27.18,58,75,8.23,US,1650939610
456,adrar,20.5022,20.5022,21.44,34,3,3.41,MR,1650939612
457,half moon bay,37.4636,37.4636,19.88,74,75,12.35,US,1650939613
458,sokol,59.4617,59.4617,4.56,96,59,3.15,RU,1650939615
459,paamiut,61.994,61.994,-1.69,89,100,1.05,GL,1650939616
460,kirakira,-10.4544,-10.4544,29.37,72,86,2.55,SB,1650939619
461,awbari,26.5921,26.5921,22.89,16,87,6.33,LY,1650939620
462,liverpool,53.4106,53.4106,8.12,83,88,4.12,GB,1650939584
463,aasiaat,68.7098,68.7098,-5.13,96,100,3.7,GL,1650939489
464,bayan,46.0833,46.0833,13.16,32,1,8.98,CN,1650939625
465,beatrice,40.2681,40.2681,8.48,36,0,1.54,US,1650939467
466,francistown,-21.17,-21.17,20.15,63,65,2.88,BW,1650939627
467,port hedland,-20.3167,-20.3167,31.03,35,47,2.57,AU,1650939629
468,tumbagaan,5.3656,5.3656,29.45,66,72,2.5,PH,1650939630
469,shache,38.4167,38.4167,20.19,16,67,2.7,CN,1650939631
470,state college,40.7934,40.7934,16.36,80,100,3.13,US,1650939442
471,hun,29.1268,29.1268,18.58,41,42,1.63,LY,1650939634
472,saint-augustin,51.226,51.226,1.6,97,100,4.19,CA,1650939635
473,geraldton,-28.7667,-28.7667,22.23,56,100,4.12,AU,1650939637
474,ust-maya,60.4167,60.4167,2.12,64,91,1.24,RU,1650939638
475,yuncheng,35.0231,35.0231,25.51,36,5,2.46,CN,1650939639
476,dubai,25.2582,25.2582,27.96,51,0,1.03,AE,1650939439
477,acapulco,16.8634,16.8634,25.9,78,40,3.09,MX,1650939643
478,malinyi,-8.9333,-8.9333,20.92,98,99,0.67,TZ,1650939644
479,mosetse,-20.75,-20.75,18.49,64,6,3.66,BW,1650939646
480,baghdad,33.3406,33.3406,20.95,64,20,4.12,IQ,1650939612
481,sinop,41.7711,41.7711,13.61,51,100,1.63,TR,1650939649
482,nanortalik,60.1432,60.1432,0.28,97,94,2.36,GL,1650939651
483,port-gentil,-0.7193,-0.7193,27.05,83,98,3.55,GA,1650939652
484,korla,41.7597,41.7597,17.51,14,100,3.79,CN,1650939654
485,catuday,16.2923,16.2923,30.59,60,27,3.12,PH,1650939655
486,port hardy,50.6996,50.6996,8.1,71,75,5.14,CA,1650939656
487,abeche,13.8292,13.8292,26.61,47,95,1.73,TD,1650939658
488,myrtle beach,33.6891,33.6891,21.16,84,0,4.12,US,1650939660
489,kununurra,-15.7667,-15.7667,32.99,33,89,1.54,AU,1650939661
490,salym,60.0625,60.0625,2.71,98,100,2.34,RU,1650939663
491,shu,43.5983,43.5983,12.32,64,25,2.09,KZ,1650939664
492,mangan,27.5167,27.5167,23.42,69,68,1.25,IN,1650939666
493,san borja,-14.8167,-14.8167,23.97,92,99,1.03,BO,1650939667
494,pangoa,-12.1167,-12.1167,21.11,99,100,0.77,PE,1650939668
495,benjamin hill,30.1667,30.1667,27.8,10,0,3.48,MX,1650939670
496,kamsack,51.5667,51.5667,-2.85,75,11,3.22,CA,1650939671
497,lerwick,60.1545,60.1545,5.0,71,100,7.38,GB,1650939672
498,necochea,-38.5473,-38.5473,11.48,65,8,3.43,AR,1650939674
499,antequera,37.0194,37.0194,12.75,61,100,1.78,ES,1650939675
500,sterling,39.0062,39.0062,17.35,82,20,4.12,US,1650939500
501,aklavik,68.2191,68.2191,0.53,100,100,2.9,CA,1650939678
502,ewo,-0.8725,-0.8725,23.73,86,98,1.53,CG,1650939679
503,galveston,29.3669,29.3669,20.0,93,100,1.34,US,1650939681
504,balsas,-7.5325,-7.5325,22.83,71,1,1.32,BR,1650939682
505,usvyaty,55.7456,55.7456,3.45,96,45,1.44,RU,1650939683
506,goderich,43.7501,43.7501,9.18,71,100,5.14,CA,1650939685
507,myslenice,49.8338,49.8338,7.44,96,100,2.02,PL,1650939686
508,richards bay,-28.783,-28.783,17.97,70,89,5.76,ZA,1650939687
509,bam,29.106,29.106,25.45,24,62,3.39,IR,1650939689
510,lasem,-6.6922,-6.6922,28.67,76,100,1.1,ID,1650939690
511,mana,5.6592,5.6592,25.74,87,100,3.63,GF,1650939691
512,toamasina,-18.1667,-18.1667,23.0,94,75,5.66,MG,1650939693
513,linguere,15.3953,15.3953,24.75,41,1,7.03,SN,1650939694
514,burnie,-41.0667,-41.0667,16.69,70,65,3.62,AU,1650939696
515,mecca,21.4267,21.4267,25.55,70,8,0.52,SA,1650939697
516,miri,4.4148,4.4148,31.08,70,20,2.06,MY,1650939698
517,pisco,-13.7,-13.7,20.03,77,0,3.6,PE,1650939700
518,curuca,-0.7289,-0.7289,23.62,96,74,1.87,BR,1650939701
519,morant bay,17.8815,17.8815,25.79,85,40,4.11,JM,1650939703
520,meulaboh,4.1363,4.1363,23.74,96,100,1.64,ID,1650939704
521,jaca,42.569,42.569,7.77,86,16,1.9,ES,1650939706
522,bac,45.3919,45.3919,7.0,86,8,3.09,RS,1650939709
523,talara,-4.5772,-4.5772,19.58,88,37,7.59,PE,1650939710
524,aberdeen,57.1437,57.1437,6.27,95,75,3.09,GB,1650939518
525,kaabong,3.4836,3.4836,17.75,85,100,1.28,UG,1650939713
526,behbahan,30.5959,30.5959,23.25,39,100,1.32,IR,1650939714
527,haines junction,60.7522,60.7522,7.97,61,100,0.51,CA,1650939718
528,port-cartier,50.0334,50.0334,3.19,99,100,4.42,CA,1650939719
529,slave lake,55.2834,55.2834,12.99,38,0,8.23,CA,1650939720
530,dunedin,-45.8742,-45.8742,14.89,51,60,8.49,NZ,1650939576
531,plouzane,48.3833,48.3833,8.03,90,0,4.12,FR,1650939723
532,kutum,14.2,14.2,24.31,12,100,0.3,SD,1650939724
533,torbay,47.6666,47.6666,3.27,97,100,7.2,CA,1650939726
534,hualmay,-11.0964,-11.0964,19.31,87,88,3.7,PE,1650939727
535,brewster,41.3973,41.3973,12.19,43,100,2.57,US,1650939728
536,iberia,29.9502,29.9502,20.98,82,20,4.12,US,1650939730
537,mitsamiouli,-11.3847,-11.3847,27.2,78,30,3.88,KM,1650939731
538,rio gallegos,-51.6226,-51.6226,1.03,93,0,4.12,AR,1650939733
539,honningsvag,70.9821,70.9821,-4.14,54,75,10.29,NO,1650939734
540,anadyr,64.75,64.75,-0.72,80,40,12.0,RU,1650939735
541,bumba,2.1833,2.1833,21.86,97,99,1.02,CD,1650939737
542,ayan,56.45,56.45,2.07,75,1,2.41,RU,1650939738
543,gilford,43.5476,43.5476,7.88,68,0,3.09,US,1650939739
544,zaragoza,41.6561,41.6561,13.9,71,20,2.57,ES,1650939741
545,coffs harbour,-30.3,-30.3,21.98,73,100,2.57,AU,1650939742
546,fukue,32.6881,32.6881,22.2,100,75,11.83,JP,1650939744
547,butembo,0.15,0.15,14.11,99,100,0.92,CD,1650939745
548,kamina,-8.7386,-8.7386,17.99,95,100,1.67,CD,1650939746
549,hofn,64.2539,64.2539,4.04,96,100,2.88,IS,1650939748
550,staryy nadym,65.6118,65.6118,-3.97,96,100,4.25,RU,1650939749
551,kargasok,59.0556,59.0556,3.83,92,100,2.31,RU,1650939751
552,winnemucca,40.973,40.973,19.03,12,0,3.09,US,1650939752
553,kysyl-syr,63.8986,63.8986,-1.61,80,90,1.97,RU,1650939753
554,maragogi,-9.0122,-9.0122,24.99,85,100,3.84,BR,1650939755
555,altay,47.8667,47.8667,5.57,62,100,0.94,CN,1650939756
556,samarai,-10.6167,-10.6167,29.92,69,83,6.75,PG,1650939757
557,isangel,-19.55,-19.55,26.24,62,100,7.75,VU,1650939759
558,sibolga,1.7427,1.7427,25.29,94,100,2.54,ID,1650939760
559,taltal,-25.4,-25.4,16.97,86,32,1.85,CL,1650939328
560,lorengau,-2.0226,-2.0226,28.66,74,14,3.73,PG,1650939763
561,vuktyl,63.8567,63.8567,1.7,87,100,2.97,RU,1650939764
562,marsa matruh,31.3525,31.3525,17.25,75,100,2.51,EG,1650939765
563,aykhal,66.0,66.0,-5.87,82,69,1.9,RU,1650939767
564,inuvik,68.3499,68.3499,2.42,69,20,4.12,CA,1650939541
